R1,R2,P1,P2
$\ce{H}$,$\ce{H}$,$\ce{H2}$,
$\ce{H}$,$\ce{C}$,$\ce{CH}$,
$\ce{H}$,$\ce{N}$,$\ce{NH}$,
$\ce{H}$,$\ce{O}$,$\ce{OH}$,
$\ce{H}$,$\ce{CH}$,$\ce{CH2}$,
$\ce{H}$,$\ce{NH}$,$\ce{NH2}$,
$\ce{H}$,$\ce{OH}$,$\ce{H2O}$,
$\ce{H}$,$\ce{C2}$,$\ce{C2H}$,
$\ce{H}$,$\ce{CN}$,$\ce{HCN}$,
$\ce{H}$,$\ce{CO}$,$\ce{HOC}$,
$\ce{H}$,$\ce{CO}$,$\ce{HCO}$,
$\ce{H}$,$\ce{NO}$,$\ce{HNO}$,
$\ce{H}$,$\ce{O2}$,$\ce{O2H}$,
$\ce{H}$,$\ce{N2}$,$\ce{N2H}$,
$\ce{H}$,$\ce{CH2}$,$\ce{CH3}$,
$\ce{H}$,$\ce{NH2}$,$\ce{NH3}$,
$\ce{H}$,$\ce{C2H}$,$\ce{C2H2}$,
$\ce{H}$,$\ce{HOC}$,$\ce{CHOH}$,
$\ce{H}$,$\ce{HCO}$,$\ce{H2CO}$,
$\ce{H}$,$\ce{O2H}$,$\ce{H2O2}$,
$\ce{H}$,$\ce{O3}$,$\ce{O2}$,$\ce{OH}$
$\ce{H}$,$\ce{C2N}$,$\ce{HCCN}$,
$\ce{H}$,$\ce{N2H}$,$\ce{N2H2}$,
$\ce{H}$,$\ce{CH3}$,$\ce{CH4}$,
$\ce{H}$,$\ce{H2CO}$,$\ce{HCO}$,$\ce{H2}$
$\ce{H}$,$\ce{CHOH}$,$\ce{CH2OH}$,
$\ce{H}$,$\ce{H2O2}$,$\ce{H2O}$,$\ce{OH}$
$\ce{H}$,$\ce{N2H2}$,$\ce{N2H}$,$\ce{H2}$
$\ce{H}$,$\ce{HCCN}$,$\ce{CH2CN}$,
$\ce{H}$,$\ce{C2H2}$,$\ce{C2H3}$,
$\ce{H}$,$\ce{C2H3}$,$\ce{C2H4}$,
$\ce{H}$,$\ce{CH2OH}$,$\ce{CH3OH}$,
$\ce{H}$,$\ce{CH2CN}$,$\ce{CH3CN}$,
$\ce{H}$,$\ce{C2H4}$,$\ce{C2H5}$,
$\ce{H}$,$\ce{C2H5}$,$\ce{C2H6}$,
$\ce{H2}$,$\ce{OH}$,$\ce{H2O}$,$\ce{H}$
$\ce{C}$,$\ce{C}$,$\ce{C2}$,
$\ce{C}$,$\ce{N}$,$\ce{CN}$,
$\ce{C}$,$\ce{O}$,$\ce{CO}$,
$\ce{C}$,$\ce{CH}$,$\ce{C2H}$,
$\ce{C}$,$\ce{NH}$,$\ce{HNC}$,
$\ce{C}$,$\ce{OH}$,$\ce{HOC}$,
$\ce{C}$,$\ce{OH}$,$\ce{CO}$,$\ce{H}$
$\ce{C}$,$\ce{CN}$,$\ce{C2N}$,
$\ce{C}$,$\ce{NO}$,$\ce{OCN}$,
$\ce{C}$,$\ce{O2}$,$\ce{CO}$,$\ce{O}$
$\ce{C}$,$\ce{CH2}$,$\ce{C2H2}$,
$\ce{C}$,$\ce{NH2}$,$\ce{HNC}$,$\ce{H}$
$\ce{C}$,$\ce{OCN}$,$\ce{CO}$,$\ce{CN}$
$\ce{C}$,$\ce{CH3}$,$\ce{C2H3}$,
$\ce{N}$,$\ce{N}$,$\ce{N2}$,
$\ce{N}$,$\ce{O}$,$\ce{NO}$,
$\ce{N}$,$\ce{CH}$,$\ce{HCN}$,
$\ce{N}$,$\ce{NH}$,$\ce{N2H}$,
$\ce{N}$,$\ce{C2}$,$\ce{C2N}$,
$\ce{N}$,$\ce{NH2}$,$\ce{N2H2}$,
$\ce{O}$,$\ce{O}$,$\ce{O2}$,
$\ce{O}$,$\ce{CH}$,$\ce{HCO}$,
$\ce{O}$,$\ce{NH}$,$\ce{HNO}$,
$\ce{O}$,$\ce{OH}$,$\ce{O2H}$,
$\ce{O}$,$\ce{CN}$,$\ce{OCN}$,
$\ce{O}$,$\ce{O2}$,$\ce{O3}$,
$\ce{O}$,$\ce{CO}$,$\ce{CO2}$,
$\ce{O}$,$\ce{HCO}$,$\ce{CO2}$,$\ce{H}$
$\ce{O}$,$\ce{CH2}$,$\ce{H2CO}$,
$\ce{O}$,$\ce{CH3}$,$\ce{CH2OH}$,
$\ce{CH}$,$\ce{CH}$,$\ce{C2H2}$,
$\ce{CH}$,$\ce{OH}$,$\ce{CHOH}$,
$\ce{CH}$,$\ce{HNO}$,$\ce{NO}$,$\ce{CH2}$
$\ce{CH}$,$\ce{CH3}$,$\ce{C2H4}$,
$\ce{OH}$,$\ce{OH}$,$\ce{H2O2}$,
$\ce{OH}$,$\ce{CH2}$,$\ce{CH2OH}$,
